event_id,session,sr_symbol,meeting_no,meeting_date,kind,draft_symbol,symbol_source,as_amended,subject,result,stated_yes,stated_no,stated_abstain,n_yes,n_no,n_abstain,totals_match
55-SR37-1,55,A/C.3/55/SR.37,37,26 October 2000,draft,A/C.3/55/L.23,subject,0,draft resolution A/C.3/55/L.23,adopted,92,16,33,92,16,33,1
55-SR47-1,55,A/C.3/55/SR.47,47,6 November 2000,draft,A/C.3/55/L.32,subject,0,the draft resolution,adopted,147,2,3,147,2,3,1
55-SR52-1,55,A/C.3/55/SR.52,52,8 November 2000,draft,A/C.3/55/L.45,subject,0,Draft resolution A/C.3/55/L.45,adopted,94,2,64,94,2,64,1
55-SR52-2,55,A/C.3/55/SR.52,52,8 November 2000,draft,A/C.3/55/L.59,subject,0,Draft resolution A/C.3/55/L.59,adopted,103,46,8,104,46,8,0
55-SR53-1,55,A/C.3/55/SR.53,53,9 November 2000,draft,A/C.3/55/L.35,subject,0,draft resolution A/C.3/55/L.35,adopted,151,0,9,151,0,9,1
55-SR53-2,55,A/C.3/55/SR.53,53,9 November 2000,draft,A/C.3/55/L.40,subject,0,draft resolution A/C.3/55/L.40,adopted,145,0,14,145,0,14,1
55-SR53-3,55,A/C.3/55/SR.53,53,9 November 2000,draft,A/C.3/55/L.49,subject,0,draft resolution A/C.3/55/L.49,adopted,58,53,48,58,53,48,1
55-SR53-4,55,A/C.3/55/SR.53,53,9 November 2000,draft,A/C.3/55/L.50,subject,0,draft resolution A/C.3/55/L.50,adopted,89,2,56,89,2,56,1
55-SR54-1,55,A/C.3/55/SR.54,54,10 November 2000,draft,A/C.3/55/L.48/Rev.1,subject,0,the draft resolution,adopted,91,44,15,91,44,15,1
55-SR55-1,55,A/C.3/55/SR.55,55,10 November 2000,paragraph,A/C.3/55/L.67,context,0,paragraph 20,adopted,118,0,30,118,0,30,1
55-SR55-2,55,A/C.3/55/SR.55,55,10 November 2000,draft,A/C.3/55/L.47,subject,1,"Draft resolution A/C.3/55/L.47/Rev. 1, as orally revised",adopted,78,51,21,78,51,21,1
55-SR55-3,55,A/C.3/55/SR.55,55,10 November 2000,draft,A/C.3/55/L.56,subject,0,Draft resolution A/C.3/55/L.56/Rev. 1,adopted,91,50,13,91,50,13,1
55-SR55-4,55,A/C.3/55/SR.55,55,10 November 2000,draft,A/C.3/55/L.62/Rev.1,subject,1,"Draft resolution A/C.3/55/L.62/Rev.1, as orally revised",adopted,94,4,55,94,4,55,1
55-SR55-5,55,A/C.3/55/SR.55,55,10 November 2000,draft,A/C.3/55/L.51,subject,1,"Draft resolution A/C.3/55/L.51, as orally revised",adopted,75,30,45,75,30,45,1
56-SR47-1,56,A/C.3/56/SR.47,47,21 November 2001,paragraph,A/C.3/56/L.29,context,0,paragraph 1 of the draft resolution,adopted,148,2,0,148,2,0,1
56-SR47-2,56,A/C.3/56/SR.47,47,21 November 2001,draft,A/C.3/56/L.33,subject,0,draft resolution A/C.3/56/L.33 on the right of the Palestinian people to self-determination,adopted,152,2,0,152,2,0,1
56-SR47-3,56,A/C.3/56/SR.47,47,21 November 2001,draft,A/C.3/56/L.38,subject,0,the draft resolution,adopted,97,44,5,97,44,5,1
56-SR50-1,56,A/C.3/56/SR.50,50,27 November 2001,draft,A/C.3/56/L.31,subject,0,draft resolution A/C.3/56/L.31,adopted,92,20,30,92,20,30,1
56-SR50-2,56,A/C.3/56/SR.50,50,27 November 2001,draft,A/C.3/56/L.41,subject,0,draft resolution A/C.3/56/L.41,adopted,94,47,3,94,47,3,1
56-SR50-3,56,A/C.3/56/SR.50,50,27 November 2001,draft,A/C.3/56/L.44,subject,0,draft resolution A/C.3/56/L.44,adopted,90,48,7,90,48,7,1
56-SR50-4,56,A/C.3/56/SR.50,50,27 November 2001,draft,A/C.3/56/L.45,subject,0,draft resolution A/C.3/56/L.45,adopted,86,48,17,86,48,17,1
56-SR50-5,56,A/C.3/56/SR.50,50,27 November 2001,draft,A/C.3/56/L.47,subject,0,draft resolution A/C.3/56/L.47,adopted,87,8,53,87,8,53,1
56-SR50-6,56,A/C.3/56/SR.50,50,27 November 2001,draft,A/C.3/56/L.48,subject,0,draft resolution A/C.3/56/L.48,adopted,146,2,2,146,2,2,1
56-SR51-1,56,A/C.3/56/SR.51,51,28 November 2001,draft,A/C.3/56/L.53,subject,0,draft resolution A/C.3/56/L.53,adopted,146,0,6,146,0,6,1
56-SR53-1,56,A/C.3/56/SR.53,53,30 November 2001,draft,A/C.3/56/L.43/Rev.1,subject,0,draft resolution A/C.3/56/L.43/Rev.1,adopted,116,3,42,116,3,42,1
56-SR53-2,56,A/C.3/56/SR.53,53,30 November 2001,draft,A/C.3/56/L.64,subject,0,draft resolution A/C.3/56/L.64,adopted,109,44,10,109,44,10,1
56-SR53-3,56,A/C.3/56/SR.53,53,30 November 2001,draft,A/C.3/56/L.50,subject,0,draft resolution A/C.3/56/L.50,adopted,71,53,41,71,53,41,1
56-SR53-4,56,A/C.3/56/SR.53,53,30 November 2001,draft,A/C.3/56/L.58/Rev.1,subject,0,draft resolution A/C.3/56/L.58/Rev.1,adopted,82,34,45,82,34,45,1
56-SR54-1,56,A/C.3/56/SR.54,54,30 November 2001,draft,A/C.3/56/L.56/Rev.1,subject,0,Draft resolution A/C.3/56/L.56/Rev.1,adopted,88,2,66,88,2,66,1
56-SR55-1,56,A/C.3/56/SR.55,55,30 November 2001,draft,A/C.3/56/L.57,subject,0,draft resolution A/C.3/56/L.57,adopted,91,3,55,91,3,55,1
56-SR55-2,56,A/C.3/56/SR.55,55,30 November 2001,draft,A/C.3/56/L.59,subject,0,draft resolution A/C.3/56/L.59,adopted,84,0,64,84,0,64,1
56-SR61-1,56,A/C.3/56/SR.61,61,26 February 2002,draft,A/C.3/56/L.84/Rev.1,subject,0,draft resolution A/C.3/56/L.84/Rev.1,adopted,137,2,2,137,2,2,1
57-SR31-1,57,A/C.3/57/SR.31,31,31 October 2002,paragraph,A/C.3/57/L.24/Rev.1,subject,0,paragraph 1 of draft resolution A/C.3/57/L.24/Rev.1,adopted,144,2,3,144,2,3,1
57-SR40-1,57,A/C.3/57/SR.40,40,7 November 2002,paragraph,A/C.3/57/L.32,subject,0,"the proposal to retain chapter I, paragraph 10, of draft resolution A/C.3/57/L.32",adopted,154,2,2,154,2,2,1
57-SR40-2,57,A/C.3/57/SR.40,40,7 November 2002,draft,A/C.3/57/L.31,subject,0,Draft resolution A/C.3/57/L.31,adopted,108,19,32,108,19,32,1
57-SR40-3,57,A/C.3/57/SR.40,40,7 November 2002,draft,A/C.3/57/L.35,subject,0,Draft resolution A/C.3/57/L.35,adopted,156,3,3,156,3,3,1
57-SR40-4,57,A/C.3/57/SR.40,40,7 November 2002,motion,A/C.3/57/L.30,context,0,The motion,rejected,12,85,43,12,85,43,1
57-SR40-5,57,A/C.3/57/SR.40,40,7 November 2002,amendment,A/C.3/57/L.39,subject,0,the amendment proposed by the United States of America in document A/C.3/57/L.39,rejected,11,98,37,11,98,37,1
57-SR40-6,57,A/C.3/57/SR.40,40,7 November 2002,draft,A/C.3/57/L.30,subject,0,Draft resolution A/C.3/57/L.30,adopted,104,8,37,104,8,37,1
57-SR51-1,57,A/C.3/57/SR.51,51,15 November 2002,draft,A/C.3/57/L.16/Rev.1,subject,0,Draft resolution A/C.3/57/L.16/Rev.1,adopted,124,7,29,124,7,27,0
57-SR51-2,57,A/C.3/57/SR.51,51,15 November 2002,draft,A/C.3/57/L.23,subject,0,Draft resolution A/C.3/57/L.23,adopted,95,3,58,95,3,58,1
57-SR53-1,57,A/C.3/57/SR.53,53,19 November 2002,draft,A/C.3/57/L.58,subject,0,Draft resolution A/C.3/57/L.58,adopted,90,50,14,90,50,14,1
57-SR53-2,57,A/C.3/57/SR.53,53,19 November 2002,draft,A/C.3/57/L.59,subject,0,Draft resolution A/C.3/57/L.59,adopted,93,51,17,93,51,17,1
57-SR53-3,57,A/C.3/57/SR.53,53,19 November 2002,draft,A/C.3/57/L.64,subject,0,Draft resolution A/C.3/57/L.64,adopted,106,51,1,106,51,1,1
57-SR53-4,57,A/C.3/57/SR.53,53,19 November 2002,draft,A/C.3/57/L.69,subject,0,Draft resolution A/C.3/57/L.69,adopted,86,2,71,86,2,71,1
57-SR54-1,57,A/C.3/57/SR.54,54,19 November 2002,paragraph,A/C.3/57/L.57,subject,0,the seventh preambular paragraph,adopted,148,1,8,148,1,8,1
57-SR55-1,57,A/C.3/57/SR.55,55,20 November 2002,draft,A/C.3/57/L.25/Rev.1,subject,0,draft resolution A/C.3/57/L.25/Rev.1,adopted,164,1,0,164,1,0,1
57-SR55-2,57,A/C.3/57/SR.55,55,20 November 2002,draft,A/C.3/57/L.44,subject,0,Draft resolution A/C.3/57/L.44,adopted,105,49,8,105,49,8,1
57-SR55-3,57,A/C.3/57/SR.55,55,20 November 2002,draft,A/C.3/57/L.55,subject,0,Draft resolution A/C.3/57/L.55,adopted,98,52,8,98,52,8,1
57-SR56-1,57,A/C.3/57/SR.56,56,20 November 2002,amendment,A/C.3/57/L.68,subject,0,The proposed amendment to draft resolution A/C.3/57/L.68,rejected,15,118,28,15,118,28,1
57-SR56-2,57,A/C.3/57/SR.56,56,20 November 2002,draft,A/C.3/57/L.68,subject,0,Draft resolution A/C.3/57/L.68,adopted,160,2,4,160,2,4,1
57-SR56-3,57,A/C.3/57/SR.56,56,20 November 2002,draft,,,0,The request that voting on the draft resolution should be postponed for 24 hours,rejected,14,90,59,14,90,59,1
57-SR56-4,57,A/C.3/57/SR.56,56,20 November 2002,draft,A/C.3/57/L.70,subject,0,Draft resolution A/C.3/57/L.70,adopted,123,0,37,123,0,37,1
57-SR56-5,57,A/C.3/57/SR.56,56,20 November 2002,draft,A/C.3/57/L.43/Rev.1,subject,0,Draft resolution A/C.3/57/L.43/Rev.1,adopted,74,53,29,74,53,29,1
57-SR57-1,57,A/C.3/57/SR.57,57,21 November 2002,draft,A/C.3/57/L.65,subject,0,draft resolution A/C.3/57/L.65,adopted,114,3,47,114,3,47,1
57-SR57-2,57,A/C.3/57/SR.57,57,21 November 2002,paragraph,,,0,paragraph 4 (a),adopted,76,8,72,76,8,72,1
57-SR57-3,57,A/C.3/57/SR.57,57,21 November 2002,paragraph,,,0,paragraph 4 (b),adopted,76,8,71,76,8,71,1
57-SR57-4,57,A/C.3/57/SR.57,57,21 November 2002,paragraph,,,0,paragraph 4 (e),adopted,76,8,71,76,8,71,1
57-SR57-5,57,A/C.3/57/SR.57,57,21 November 2002,paragraph,,,0,paragraph 4 (f),adopted,77,8,71,77,8,71,1
57-SR57-6,57,A/C.3/57/SR.57,57,21 November 2002,draft,A/C.3/57/L.49,subject,1,"draft resolution A/C.3/57/L.49 as a whole, as orally revised",adopted,86,4,71,86,4,71,1
57-SR57-7,57,A/C.3/57/SR.57,57,21 November 2002,paragraph,A/C.3/57/L.50,context,0,paragraph 1(i),adopted,125,1,26,125,1,26,1
57-SR57-8,57,A/C.3/57/SR.57,57,21 November 2002,draft,A/C.3/57/L.50,subject,1,"A/C.3/57/L.50 as a whole, as orally revised",adopted,83,3,72,83,3,72,1
57-SR58-1,57,A/C.3/57/SR.58,58,21 November 2002,amendment,A/C.3/57/L.86,subject,0,"The first proposed amendment, contained in paragraph 1 of document A/C.3/57/L.86",rejected,35,79,38,35,79,38,1
57-SR58-2,57,A/C.3/57/SR.58,58,21 November 2002,amendment,A/C.3/57/L.86,subject,0,"The second proposed amendment, contained in paragraph 2 of document A/C.3/57/L.86",rejected,49,72,29,49,72,29,1
57-SR58-3,57,A/C.3/57/SR.58,58,21 November 2002,amendment,A/C.3/57/L.86,subject,0,"The third proposed amendment, contained in paragraph 3 of document A/C.3/57/L.86",rejected,64,67,22,64,67,22,1
57-SR58-4,57,A/C.3/57/SR.58,58,21 November 2002,amendment,A/C.3/57/L.87,subject,0,"The first proposed amendment, contained in paragraph 1 of document A/C.3/57/L.87",rejected,44,80,30,44,80,30,1
57-SR58-5,57,A/C.3/57/SR.58,58,21 November 2002,amendment,A/C.3/57/L.87,subject,0,"The second proposed amendment, contained in paragraph 2 of document A/C.3/57/L.87",rejected,55,69,32,55,69,32,1
57-SR58-6,57,A/C.3/57/SR.58,58,21 November 2002,amendment,A/C.3/57/L.87,subject,0,"The third proposed amendment, contained in paragraph 3 of document A/C.3/57/L.87",rejected,52,73,28,52,73,28,1
57-SR59-1,57,A/C.3/57/SR.59,59,25 November 2002,paragraph,A/C.3/57/L.56/Rev.1,context,0,the third preambular paragraph,adopted,87,24,35,87,24,35,1
57-SR59-2,57,A/C.3/57/SR.59,59,25 November 2002,paragraph,,,0,paragraph 6,adopted,92,34,28,92,34,28,1
57-SR59-3,57,A/C.3/57/SR.59,59,25 November 2002,paragraph,,,0,paragraph 11,adopted,91,28,33,91,28,33,1
57-SR59-4,57,A/C.3/57/SR.59,59,25 November 2002,paragraph,,,0,paragraph 12,adopted,89,33,31,89,33,31,1
57-SR59-5,57,A/C.3/57/SR.59,59,25 November 2002,paragraph,,,0,paragraph 18,retained,77,34,39,77,34,39,1
57-SR59-6,57,A/C.3/57/SR.59,59,25 November 2002,paragraph,,,0,paragraph 22,retained,97,23,34,97,23,34,1
57-SR59-7,57,A/C.3/57/SR.59,59,25 November 2002,paragraph,,,0,the seventh preambular paragraph and paragraph 3,adopted,125,2,30,125,2,30,1
57-SR59-8,57,A/C.3/57/SR.59,59,25 November 2002,draft,A/C.3/57/L.56/Rev.1,subject,0,draft resolution A/C.3/57/L.56/Rev.1 as a whole,adopted,112,0,48,112,0,48,1
57-SR60-1,57,A/C.3/57/SR.60,60,25 November 2002,draft,A/C.3/57/L.34/Rev.1,subject,0,Draft resolution A/C.3/57/L.34/Rev.1,adopted,153,2,3,153,2,3,1
58-SR16-1,58,A/C.3/58/SR.16,16,17 October 2003,motion,,,0,a proposal to invite the Special Rapporteur of the Commission on Human Rights on the Situation of Human Rights in the Occupied Palestinian Territories to present his report to the Third Committee,adopted,140,2,1,140,2,1,1
58-SR34-1,58,A/C.3/58/SR.34,34,6 November 2003,draft,A/C.3/58/L.24,subject,1,"draft resolution A/C.3/58/L.24, as revised",adopted,88,4,58,87,4,57,0
58-SR43-1,58,A/C.3/58/SR.43,43,13 November 2003,draft,A/C.3/58/L.32,subject,0,draft resolution A/C.3/58/L.32,adopted,111,23,27,111,23,26,0
58-SR43-2,58,A/C.3/58/SR.43,43,13 November 2003,draft,A/C.3/58/L.35,subject,0,draft resolution A/C.3/58/L.35,adopted,159,2,0,159,2,0,1
58-SR53-1,58,A/C.3/58/SR.53,53,20 November 2003,draft,A/C.3/58/L.31,subject,0,the draft resolution,adopted,88,3,64,88,3,64,1
