undl_id,symbol,session,date,year,body,draft,committee_report,meeting,title,agenda_title,subjects,vote_note,yes,no,abstain,nonvoting,total,n_rollcall,c3_source,record_url
658810,A/RES/2647(XXV),25,1970-11-30,1970,General Assembly,,A/8163,A/PV.1915,Elimination of all forms of racial discrimination : resolution / adopted by the General Assembly,Elimination of all forms of racial discrimination.,,,49,33,10,35,127,127,agenda,https://digitallibrary.un.org/record/658810
654360,A/RES/2770(XXVI),26,1971-11-22,1971,General Assembly,,A/8507,A/PV.1991,"Youth, its problems and needs, and its participation in social development : resolution / adopted by the General Assembly",World social situation.,,,91,0,0,40,131,131,agenda,https://digitallibrary.un.org/record/654360
654365,A/RES/2771(XXVI),26,1971-11-22,1971,General Assembly,,A/8507,A/PV.1991,World social situation : resolution / adopted by the General Assembly,World social situation.,,,95,0,3,33,131,131,agenda,https://digitallibrary.un.org/record/654365
654404,A/RES/2784(XXVI),26,1971-12-06,1971,General Assembly,,A/8542,A/PV.2001,Elimination of all forms of racial discrimination : resolution / adopted by the General Assembly,Elimination of all forms of racial discrimination.,,,93,5,15,18,131,131,agenda,https://digitallibrary.un.org/record/654404
654405,A/RES/2785(XXVI),26,1971-12-06,1971,General Assembly,,A/8542,A/PV.2001,International Year for Action to Combat Racism and Racial Discrimination : resolution / adopted by the General Assembly,Elimination of all forms of racial discrimination.,,,87,2,23,19,131,131,agenda,https://digitallibrary.un.org/record/654405
654406,A/RES/2786(XXVI),26,1971-12-06,1971,General Assembly,,A/8542,A/PV.2001,Draft convention on the suppression and punishment of the Crime of apartheid : resolution / adopted by the General Assembly,Elimination of all forms of racial discrimination.,,,86,5,23,17,131,131,agenda,https://digitallibrary.un.org/record/654406
654407,A/RES/2787(XXVI),26,1971-12-06,1971,General Assembly,,A/8543,A/PV.2001,Importance of the universal realization of the right of peoples to self-determination and of the speedy granting of independence to colonial countries and peoples for the effective guarantee and observance of human rights : resolution / adopted by the General Assembly,Importance of the universal realization of the right of peoples to self-determination and of the speedy granting of independence to colonial countries and peoples for the effective guarantee and observance of human rights.,,,76,10,33,12,131,131,agenda,https://digitallibrary.un.org/record/654407
653985,A/RES/2955(XXVII),27,1972-12-12,1972,General Assembly,,A/8936,A/PV.2107,Importance of the universal realization of the right of peoples to self-determination and of the speedy granting of independence to colonial countries and peoples for the effective guarantee and observance of human rights : resolution / adopted by the General Assembly,Importance of the universal realization of the right of peoples to self-determination and of the speedy granting of independence to colonial countries and peoples for the effective guarantee and observance of human rights.,,,89,8,18,17,132,132,agenda,https://digitallibrary.un.org/record/653985
652180,A/RES/3148(XXVIII),28,1973-12-14,1973,General Assembly,,A/9394,A/PV.2201,Preservation and further development of cultural values : resolution / adopted by the General Assembly,Human rights and scientific and technological developments.,,,123,0,5,7,135,135,agenda,https://digitallibrary.un.org/record/652180
652181,A/RES/3149(XXVIII),28,1973-12-14,1973,General Assembly,,A/9394,A/PV.2201,Human rights and scientific and technological developments : resolution / adopted by the General Assembly,Human rights and scientific and technological developments.,,,118,0,10,7,135,135,agenda,https://digitallibrary.un.org/record/652181
652182,A/RES/3150(XXVIII),28,1973-12-14,1973,General Assembly,,A/9394,A/PV.2201,Use of scientific and technological developments in the interests of peace and social development : resolution / adopted by the General Assembly,Human rights and scientific and technological developments.,,,112,0,17,6,135,135,agenda,https://digitallibrary.un.org/record/652182
651017,A/RES/3246(XXIX),29,1974-11-29,1974,General Assembly,,A/9866,A/PV.2303,Importance of the universal realization of the right of peoples to self-determination and of the speedy granting of independence to colonial countries and peoples for the effective guarantee and observance of human rights : resolution / adopted by the General Assembly,Importance of the universal realization of the right of peoples to self-determination and of the speedy granting of independence to colonial countries and peoples for the effective guarantee and observance of human rights.,,,107,1,20,10,138,138,agenda,https://digitallibrary.un.org/record/651017
650276,A/RES/3377(XXX),30,1975-11-10,1975,General Assembly,,A/10320,A/PV.2400,Implementation of the Programme for the Decade for Action to Combat Racism and Racial Discrimination : resolution / adopted by the General Assembly,Elimination of all forms of racial discrimination.,,,117,19,5,1,142,142,agenda,https://digitallibrary.un.org/record/650276
650323,A/RES/3378(XXX),30,1975-11-10,1975,General Assembly,,A/10320,A/PV.2400,World conference to combat racism and racial discrimination : resolution / adopted by the General Assembly,Elimination of all forms of racial discrimination.,,,116,18,7,1,142,142,agenda,https://digitallibrary.un.org/record/650323
650324,A/RES/3379(XXX),30,1975-11-10,1975,General Assembly,,A/10320,A/PV.2400,Elimination of all forms of racial discrimination : resolution / adopted by the General Assembly,Elimination of all forms of racial discrimination.,,,72,35,32,3,142,142,agenda,https://digitallibrary.un.org/record/650324
650332,A/RES/3383(XXX),30,1975-11-10,1975,General Assembly,,A/10321,A/PV.2400,"Adverse consequences for the enjoyment of human rights of political, military, economic and other forms of assistance given to colonial and racist regimes in southern Africa : resolution / adopted by the General Assembly","Adverse consequences for the enjoyment of human rights of political, military, economic and other forms of assistance given to colonial and racist regimes in Southern Africa.",,,109,0,10,23,142,142,agenda,https://digitallibrary.un.org/record/650332
650469,A/RES/3451(XXX),30,1975-12-09,1975,General Assembly,,A/10404,A/PV.2433,Alternative approaches and ways and means within the United Nations system for improving the effective enjoyment of human rights and fundamental freedoms : resolution / adopted by the General Assembly,Alternative approaches and ways and means within the United Nations system for improving the effective enjoyment of human rights and fundamental freedoms.,,,125,0,4,15,144,144,agenda,https://digitallibrary.un.org/record/650469
649025,A/RES/31/33,31,1976-11-30,1976,General Assembly,,A/31/331,A/31/PV.83,"Adverse consequences for the enjoyment of human rights of political, military, economic and other forms of assistance given to colonial and racist regimes in southern Africa : resolution / adopted by the General Assembly","Adverse consequences for the enjoyment of human rights of policital, military, economic and other forms of assistance given to colonial and racist régimes in southern Africa.",,,97,11,28,9,145,145,agenda,https://digitallibrary.un.org/record/649025
649026,A/RES/31/34,31,1976-11-30,1976,General Assembly,,A/31/291,A/31/PV.83,Importance of the universal realization of the right of peoples to self-determination and of the speedy granting of independence to colonial countries and peoples for the effective guarantee and observance of human rights : resolution / adopted by the General Assembly,Importance of the universal realization of the right of peoples to self-determination and of the speedy granting of independence to colonial countries and peoples for the effective guarantee and observance of human rights.,,,109,4,24,8,145,145,agenda,https://digitallibrary.un.org/record/649026
649693,A/RES/31/77,31,1976-12-13,1976,General Assembly,,A/31/273,A/31/PV.97,Implementation of the Programme for the Decade for Action to Combat Racism and Racial Discrimination : resolution / adopted by the General Assembly,Elimination of all forms of racial discrimination.,,,113,1,14,18,146,146,agenda,https://digitallibrary.un.org/record/649693
649694,A/RES/31/78,31,1976-12-13,1976,General Assembly,,A/31/273,A/31/PV.97,World Conference to Combat Racism and Racial Discrimination : resolution / adopted by the General Assembly,Elimination of all forms of racial discrimination.,,,110,2,16,18,146,146,agenda,https://digitallibrary.un.org/record/649694
649695,A/RES/31/80,31,1976-12-13,1976,General Assembly,,A/31/273,A/31/PV.97,Status of the International Convention on the Suppression and Punishment of the Crime of Apartheid : resolution / adopted by the General Assembly,Elimination of all forms of racial discrimination.,,,99,0,30,17,146,146,agenda,https://digitallibrary.un.org/record/649695
649696,A/RES/31/84,31,1976-12-13,1976,General Assembly,,A/31/389,A/31/PV.97,World social situation : resolution / adopted by the General Assembly,World social situation.,,,120,0,12,14,146,146,agenda,https://digitallibrary.un.org/record/649696
649756,A/RES/31/128,31,1976-12-16,1976,General Assembly,,A/31/420,A/31/PV.102,Human rights and scientific and technological developments : resolution / adopted by the General Assembly,Human rights and scientific and technological developments.,,,126,0,8,13,147,147,agenda,https://digitallibrary.un.org/record/649756
643265,A/RES/32/12,32,1977-11-07,1977,General Assembly,,A/32/307,A/32/PV.60,Status of the International Convention on the Suppression and Punishment of the Crime of Apartheid : resolution / adopted by the General Assembly,Elimination of all forms of racial discrimination.,,,101,0,25,23,149,149,agenda,https://digitallibrary.un.org/record/643265
643269,A/RES/32/13,32,1977-11-07,1977,General Assembly,,A/32/307/Add.1,A/32/PV.60,Report of the Committee on the Elimination of Racial Discrimination : resolution / adopted by the General Assembly,Elimination of all forms of racial discrimination.,,,132,1,0,16,149,149,agenda,https://digitallibrary.un.org/record/643269
643271,A/RES/32/14,32,1977-11-07,1977,General Assembly,,A/32/318,A/32/PV.60,Importance of the universal realization of the right of peoples to self-determination and of the speedy granting of independence to colonial countries and peoples for the effective guarantee and observance of human rights : resolution / adopted by the General Assembly,Importance of the universal realization of the right of peoples to self-determination and of the speedy granting of independence to colonial countries and peoples for the effective guarantee and observance of human rights.,,,113,3,18,15,149,149,agenda,https://digitallibrary.un.org/record/643271
642642,A/RES/32/130,32,1977-12-16,1977,General Assembly,,A/32/423,A/32/PV.105,Alternative approaches and ways and means within the United Nations system for improving the effective enjoyment of human rights and fundamental freedoms : resolution / adopted by the General Assembly,Alternative approaches and ways and means within the United Nations system for improving the effective enjoyment of human rights and fundamental freedoms.,,,123,0,15,11,149,149,agenda,https://digitallibrary.un.org/record/642642
638759,A/RES/33/23,33,1978-11-29,1978,General Assembly,,A/33/383,A/33/PV.63,"Adverse consequences for the enjoyment of human rights of political, military, economic and other forms of assistance given to colonial and racist regimes in southern Africa : resolution / adopted by the General Assembly","Adverse consequences for the enjoyment of human rights of political, military, economic and other forms of assistance given to colonial and racist regimes in southern Africa.",,,100,7,22,21,150,150,agenda,https://digitallibrary.un.org/record/638759
638760,A/RES/33/24,33,1978-11-29,1978,General Assembly,,A/33/371,A/33/PV.63,Importance of the universal realization of the right of peoples to self-determination and of the speedy granting of independence to colonial countries and peoples for the effective guarantee and observance of human rights : resolution / adopted by the General Assembly,Importance of the universal realization of the right of peoples to self-determination and of the speedy granting of independence to colonial countries and peoples for the effective guarantee and observance of human rights.,,,92,19,20,19,150,150,agenda,https://digitallibrary.un.org/record/638760
638783,A/RES/33/53,33,1978-12-14,1978,General Assembly,,A/33/475,A/33/PV.84,Human rights and scientific and technological developments : resolution / adopted by the General Assembly,Human rights and scientific and technological developments.,,,83,0,48,19,150,150,agenda,https://digitallibrary.un.org/record/638783
638967,A/RES/33/103,33,1978-12-16,1978,General Assembly,,A/33/381,A/33/PV.86,Status of the International Convention on the Suppression and Punishment of the Crime of Apartheid : resolution / adopted by the General Assembly,Status of the International Convention on the Suppression and Punishment of the Crime of Apartheid.,,,109,0,30,11,150,150,agenda,https://digitallibrary.un.org/record/638967
638964,A/RES/33/98,33,1978-12-16,1978,General Assembly,,A/33/422,A/33/PV.86,Implementation of the Programme for the Decade for Action to Combat Racism and Racial Discrimination : resolution / adopted by the General Assembly,Implementation of the Programme for the Decade for Action to Combat Racism and Racial Discrimination.,,,124,0,12,14,150,150,agenda,https://digitallibrary.un.org/record/638964
632961,A/RES/34/24,34,1979-11-15,1979,General Assembly,,A/34/618,A/34/PV. 69, Implementation of the Programme for the Decade for Action to Combat Racism & Racial Discrimination : resolution / adopted by the General Assembly,Implementation of the Programme for the Decade for Action to Combat Racism and Racial Discrimination.,,,82,17,6,47,152,152,agenda,https://digitallibrary.un.org/record/632961
633052,A/RES/34/44,34,1979-11-23,1979,General Assembly,,A/34/695,A/34/PV. 76,Importance of the universal realization of the right of peoples to self-determination and of the speedy granting of independence to colonial countries and peoples for the effective guarantee and observance of human rights : resolution / adopted by the General Assembly,Importance of the universal realization of the right of peoples to self-determination and of the speedy granting of independence to colonial countries and peoples for the effective guarantee and observance of human rights.,,,105,20,16,11,152,152,agenda,https://digitallibrary.un.org/record/633052
633053,A/RES/34/46,34,1979-11-23,1979,General Assembly,,A/34/704,A/34/PV. 76,Alternative approaches and ways and means within the United Nations system for improvising the effective enjoyment of human rights and fundamental freedoms : resolution / adopted by the General Assembly,Alternative approaches and ways and means within the United Nations System for improving the effective enjoyment of human rights and fundamental freedoms.,,,136,1,7,8,152,152,agenda,https://digitallibrary.un.org/record/633053
633054,A/RES/34/47,34,1979-11-23,1979,General Assembly,,A/34/704,A/34/PV. 76,Services of the Secretariat concerned with human rights : resolution / adopted by the General Assembly,Alternative approaches and ways and means within the United Nations System for improving the effective enjoyment of human rights and fundamental freedoms.,,,103,0,39,10,152,152,agenda,https://digitallibrary.un.org/record/633054
633055,A/RES/34/48,34,1979-11-23,1979,General Assembly,,A/34/704,A/34/PV. 76,Alternative approaches and ways and means within the United Nations system for the improvement of the effective enjoyment of human rights and fundamental freedoms : resolution / adopted by the General Assembly,Alternative approaches and ways and means within the United Nations System for improving the effective enjoyment of human rights and fundamental freedoms.,,,72,26,40,14,152,152,agenda,https://digitallibrary.un.org/record/633055
629406,A/RES/35/39,35,1980-11-25,1980,General Assembly,,A/35/590,A/35/PV.73,Status of the International Convention on the Supression and Punishment of the Crime of Apartheid : resolution / adopted by the General Assembly,Status of the International Convention on the Suppression and Punishment of the Crime of Apartheid.,,,98,0,24,32,154,154,agenda,https://digitallibrary.un.org/record/629406
629613,A/RES/35/130A,35,1980-12-11,1980,General Assembly,,A/35/635,A/35/PV.92,Human rights and scientific and technological developments : resolution / adopted by the General Assembly,Human rights and scientific and technological developments.,,,111,0,30,13,154,154,agenda,https://digitallibrary.un.org/record/629613
629614,A/RES/35/130B,35,1980-12-11,1980,General Assembly,,A/35/635,A/35/PV.92,Human rights and scientific and technological developments : resolution / adopted by the General Assembly,Human rights and scientific and technological developments.,,,78,0,62,14,154,154,agenda,https://digitallibrary.un.org/record/629614
628623,A/RES/35/174,35,1980-12-15,1980,General Assembly,,A/35/721,A/35/PV.96,Alternative approaches and ways and means within the United Nations system for improving the effective enjoyment of human rights and fundamental freedoms : resolution / adopted by the General Assembly,Alternative approaches and ways and means within the United Nations System for improving the effective enjoyment of human rights and fundamental freedoms.,,,120,1,26,7,154,154,agenda,https://digitallibrary.un.org/record/628623
626564,A/RES/36/13,36,1981-10-28,1981,General Assembly,,A/36/623,A/36/PV.42,Status of the International Convention on the Suppression and Punishment of the Crime of Apartheid : resolution / adopted by the General Assembly,Status of the International Convention on the Suppression and Punishment of the Crime of Apartheid.,,,124,1,23,8,156,156,agenda,https://digitallibrary.un.org/record/626564
626555,A/RES/36/8,36,1981-10-28,1981,General Assembly,,A/36/621,A/36/PV.42,Implementation of the Programme for the Decade for Action to Combat Racism and Racial Discrimination : resolution / adopted by the General Assembly,Implementation of the Programme for the Decade for Action to Combat Racism and Racial Discrimination.,,,121,19,6,10,156,156,agenda,https://digitallibrary.un.org/record/626555
626577,A/RES/36/21,36,1981-11-09,1981,General Assembly,,A/36/645,A/36/PV.49,Crime prevention and criminal justice and development : resolution / adopted by the General Assembly,Crime prevention and criminal justice and development.,,,135,0,1,20,156,156,agenda,https://digitallibrary.un.org/record/626577
