event_id,session,draft_symbol,iso3,country,vote
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,AFG,AFGHANISTAN,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,DMA,DOMINICA,.
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,LIE,LIECHTENSTEIN,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,WSM,SAMOA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,ALB,ALBANIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,DOM,DOMINICAN REPUBLIC,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,LTU,LITHUANIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,SMR,SAN MARINO,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,DZA,ALGERIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,ECU,ECUADOR,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,LUX,LUXEMBOURG,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,STP,SAO TOME AND PRINCIPE,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,AND,ANDORRA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,EGY,EGYPT,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,MDG,MADAGASCAR,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,SAU,SAUDI ARABIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,AGO,ANGOLA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,SLV,EL SALVADOR,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,MWI,MALAWI,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,SEN,SENEGAL,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,ATG,ANTIGUA AND BARBUDA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,GNQ,EQUATORIAL GUINEA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,MYS,MALAYSIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,SRB,SERBIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,ARG,ARGENTINA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,ERI,ERITREA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,MDV,MALDIVES,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,SYC,SEYCHELLES,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,ARM,ARMENIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,EST,ESTONIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,MLI,MALI,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,SLE,SIERRA LEONE,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,AUS,AUSTRALIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,SWZ,ESWATINI,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,MLT,MALTA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,SGP,SINGAPORE,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,AUT,AUSTRIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,ETH,ETHIOPIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,MHL,MARSHALL ISLANDS,.
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,SVK,SLOVAKIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,AZE,AZERBAIJAN,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,MRT,MAURITANIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,SVN,SLOVENIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,BHS,BAHAMAS,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,FIN,FINLAND,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,MUS,MAURITIUS,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,SLB,SOLOMON ISLANDS,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,BHR,BAHRAIN,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,FRA,FRANCE,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,MEX,MEXICO,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,SOM,SOMALIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,BGD,BANGLADESH,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,GAB,GABON,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,FSM,MICRONESIA (FEDERATED,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,ZAF,SOUTH AFRICA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,BRB,BARBADOS,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,GMB,GAMBIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,MCO,MONACO,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,SSD,SOUTH SUDAN,.
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,BLR,BELARUS,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,GEO,GEORGIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,MNG,MONGOLIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,ESP,SPAIN,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,BEL,BELGIUM,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,DEU,GERMANY,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,MNE,MONTENEGRO,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,LKA,SRILANKA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,BLZ,BELIZE,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,GHA,GHANA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,MAR,MOROCCO,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,SDN,SUDAN,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,BEN,BENIN,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,GRC,GREECE,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,MOZ,MOZAMBIQUE,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,SUR,SURINAME,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,BTN,BHUTAN,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,GRD,GRENADA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,MMR,MYANMAR,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,SWE,SWEDEN,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,BOL,BOLIVIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,GTM,GUATEMALA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,NAM,NAMIBIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,CHE,SWITZERLAND,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,BIH,BOSNIA AND HERZEGOVINA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,GIN,GUINEA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,NRU,NAURU,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,SYR,SYRIAN ARAB REPUBLIC,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,BWA,BOTSWANA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,GNB,GUINEA-BISSAU,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,NPL,NEPAL,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,TJK,TAJIKISTAN,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,BRA,BRAZIL,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,GUY,GUYANA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,NLD,NETHERLANDS,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,THA,THAILAND,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,BRN,BRUNEI DARUSSALAM,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,HTI,HAITI,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,NZL,NEW ZEALAND,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,TLS,TIMOR-LESTE,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,BGR,BULGARIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,HND,HONDURAS,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,NIC,NICARAGUA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,TGO,TOGO,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,BFA,BURKINA FASO,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,HUN,HUNGARY,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,NER,NIGER,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,TON,TONGA,.
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,BDI,BURUNDI,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,ISL,ICELAND,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,NGA,NIGERIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,TTO,TRINIDAD AND TOBAGO,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,CPV,CABO VERDE,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,IND,INDIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,MKD,NORTH MACEDONIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,TUN,TUNISIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,KHM,CAMBODIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,IDN,INDONESIA,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,NOR,NORWAY,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,TUR,TURKEY,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,CMR,CAMEROON,Y
74-sheet-A.C.3.74.L.12.Rev.1,74,A/C.3/74/L.12/Rev.1,IRN,IRAN (ISLAMIC REPUBLIC OF),Y
