record_id,symbol,date,year,body,vote_type,seq,iso3,country,vote
25269,E/CN.4/RES(I),1947-02-10,1947,Commission on Human Rights,RECORDED,1,AUS,AUSTRALIA,N
25269,E/CN.4/RES(I),1947-02-10,1947,Commission on Human Rights,RECORDED,2,BEL,BELGIUM,.
25269,E/CN.4/RES(I),1947-02-10,1947,Commission on Human Rights,RECORDED,3,BLR,BYELORUSSIAN SSR,.
25269,E/CN.4/RES(I),1947-02-10,1947,Commission on Human Rights,RECORDED,4,CHL,CHILE,.
25269,E/CN.4/RES(I),1947-02-10,1947,Commission on Human Rights,RECORDED,5,CHN,CHINA,N
25269,E/CN.4/RES(I),1947-02-10,1947,Commission on Human Rights,RECORDED,6,EGY,EGYPT,A
25269,E/CN.4/RES(I),1947-02-10,1947,Commission on Human Rights,RECORDED,7,FRA,FRANCE,Y
25269,E/CN.4/RES(I),1947-02-10,1947,Commission on Human Rights,RECORDED,8,IND,INDIA,Y
25269,E/CN.4/RES(I),1947-02-10,1947,Commission on Human Rights,RECORDED,9,IRN,IRAN (ISLAMIC REPUBLIC OF),Y
25269,E/CN.4/RES(I),1947-02-10,1947,Commission on Human Rights,RECORDED,10,LBN,LEBANON,Y
25269,E/CN.4/RES(I),1947-02-10,1947,Commission on Human Rights,RECORDED,11,PAN,PANAMA,.
25269,E/CN.4/RES(I),1947-02-10,1947,Commission on Human Rights,RECORDED,12,PHL,PHILIPPINES,.
25269,E/CN.4/RES(I),1947-02-10,1947,Commission on Human Rights,RECORDED,13,UKR,UKRAINIAN SSR,.
25269,E/CN.4/RES(I),1947-02-10,1947,Commission on Human Rights,RECORDED,14,SUN,USSR,N
25269,E/CN.4/RES(I),1947-02-10,1947,Commission on Human Rights,RECORDED,15,GBR,UNITED KINGDOM,Y
25269,E/CN.4/RES(I),1947-02-10,1947,Commission on Human Rights,RECORDED,16,USA,UNITED STATES,Y
25269,E/CN.4/RES(I),1947-02-10,1947,Commission on Human Rights,RECORDED,17,URY,URUGUAY,.
25269,E/CN.4/RES(I),1947-02-10,1947,Commission on Human Rights,RECORDED,18,YUG,YUGOSLAVIA,N
25223,E/CN.4/RES(II),1947-12-16,1947,Commission on Human Rights,RECORDED,1,AUS,AUSTRALIA,.
25223,E/CN.4/RES(II),1947-12-16,1947,Commission on Human Rights,RECORDED,2,BEL,BELGIUM,Y
25223,E/CN.4/RES(II),1947-12-16,1947,Commission on Human Rights,RECORDED,3,BLR,BYELORUSSIAN SSR,N
25223,E/CN.4/RES(II),1947-12-16,1947,Commission on Human Rights,RECORDED,4,CHL,CHILE,.
25223,E/CN.4/RES(II),1947-12-16,1947,Commission on Human Rights,RECORDED,5,CHN,CHINA,Y
25223,E/CN.4/RES(II),1947-12-16,1947,Commission on Human Rights,RECORDED,6,EGY,EGYPT,Y
25223,E/CN.4/RES(II),1947-12-16,1947,Commission on Human Rights,RECORDED,7,FRA,FRANCE,Y
25223,E/CN.4/RES(II),1947-12-16,1947,Commission on Human Rights,RECORDED,8,IND,INDIA,Y
25223,E/CN.4/RES(II),1947-12-16,1947,Commission on Human Rights,RECORDED,9,IRN,IRAN (ISLAMIC REPUBLIC OF),Y
25223,E/CN.4/RES(II),1947-12-16,1947,Commission on Human Rights,RECORDED,10,LBN,LEBANON,Y
25223,E/CN.4/RES(II),1947-12-16,1947,Commission on Human Rights,RECORDED,11,PAN,PANAMA,.
25223,E/CN.4/RES(II),1947-12-16,1947,Commission on Human Rights,RECORDED,12,PHL,PHILIPPINES,.
25223,E/CN.4/RES(II),1947-12-16,1947,Commission on Human Rights,RECORDED,13,UKR,UKRAINIAN SSR,N
25223,E/CN.4/RES(II),1947-12-16,1947,Commission on Human Rights,RECORDED,14,SUN,USSR,N
25223,E/CN.4/RES(II),1947-12-16,1947,Commission on Human Rights,RECORDED,15,GBR,UNITED KINGDOM,Y
25223,E/CN.4/RES(II),1947-12-16,1947,Commission on Human Rights,RECORDED,16,USA,UNITED STATES,Y
25223,E/CN.4/RES(II),1947-12-16,1947,Commission on Human Rights,RECORDED,17,URY,URUGUAY,Y
25223,E/CN.4/RES(II),1947-12-16,1947,Commission on Human Rights,RECORDED,18,YUG,YUGOSLAVIA,N
25250,E/CN.4/RES(II),1947-12-15,1947,Commission on Human Rights,RECORDED,1,AUS,AUSTRALIA,Y
25250,E/CN.4/RES(II),1947-12-15,1947,Commission on Human Rights,RECORDED,2,BEL,BELGIUM,Y
25250,E/CN.4/RES(II),1947-12-15,1947,Commission on Human Rights,RECORDED,3,BLR,BYELORUSSIAN SSR,N
25250,E/CN.4/RES(II),1947-12-15,1947,Commission on Human Rights,RECORDED,4,CHL,CHILE,.
25250,E/CN.4/RES(II),1947-12-15,1947,Commission on Human Rights,RECORDED,5,CHN,CHINA,.
25250,E/CN.4/RES(II),1947-12-15,1947,Commission on Human Rights,RECORDED,6,EGY,EGYPT,Y
25250,E/CN.4/RES(II),1947-12-15,1947,Commission on Human Rights,RECORDED,7,FRA,FRANCE,Y
25250,E/CN.4/RES(II),1947-12-15,1947,Commission on Human Rights,RECORDED,8,IND,INDIA,Y
25250,E/CN.4/RES(II),1947-12-15,1947,Commission on Human Rights,RECORDED,9,IRN,IRAN (ISLAMIC REPUBLIC OF),Y
25250,E/CN.4/RES(II),1947-12-15,1947,Commission on Human Rights,RECORDED,10,LBN,LEBANON,Y
25250,E/CN.4/RES(II),1947-12-15,1947,Commission on Human Rights,RECORDED,11,PAN,PANAMA,Y
25250,E/CN.4/RES(II),1947-12-15,1947,Commission on Human Rights,RECORDED,12,PHL,PHILIPPINES,Y
25250,E/CN.4/RES(II),1947-12-15,1947,Commission on Human Rights,RECORDED,13,UKR,UKRAINIAN SSR,N
25250,E/CN.4/RES(II),1947-12-15,1947,Commission on Human Rights,RECORDED,14,SUN,USSR,A
25250,E/CN.4/RES(II),1947-12-15,1947,Commission on Human Rights,RECORDED,15,GBR,UNITED KINGDOM,Y
25250,E/CN.4/RES(II),1947-12-15,1947,Commission on Human Rights,RECORDED,16,USA,UNITED STATES,Y
25250,E/CN.4/RES(II),1947-12-15,1947,Commission on Human Rights,RECORDED,17,URY,URUGUAY,Y
25250,E/CN.4/RES(II),1947-12-15,1947,Commission on Human Rights,RECORDED,18,YUG,YUGOSLAVIA,N
25271,E/CN.4/RES(I),1947-01-28,1947,Commission on Human Rights,RECORDED,1,AUS,AUSTRALIA,N
25271,E/CN.4/RES(I),1947-01-28,1947,Commission on Human Rights,RECORDED,2,BEL,BELGIUM,.
25271,E/CN.4/RES(I),1947-01-28,1947,Commission on Human Rights,RECORDED,3,BLR,BYELORUSSIAN SSR,.
25271,E/CN.4/RES(I),1947-01-28,1947,Commission on Human Rights,RECORDED,4,CHL,CHILE,.
25271,E/CN.4/RES(I),1947-01-28,1947,Commission on Human Rights,RECORDED,5,CHN,CHINA,A
25271,E/CN.4/RES(I),1947-01-28,1947,Commission on Human Rights,RECORDED,6,EGY,EGYPT,A
25271,E/CN.4/RES(I),1947-01-28,1947,Commission on Human Rights,RECORDED,7,FRA,FRANCE,.
25271,E/CN.4/RES(I),1947-01-28,1947,Commission on Human Rights,RECORDED,8,IND,INDIA,Y
25271,E/CN.4/RES(I),1947-01-28,1947,Commission on Human Rights,RECORDED,9,IRN,IRAN (ISLAMIC REPUBLIC OF),A
25271,E/CN.4/RES(I),1947-01-28,1947,Commission on Human Rights,RECORDED,10,LBN,LEBANON,Y
25271,E/CN.4/RES(I),1947-01-28,1947,Commission on Human Rights,RECORDED,11,PAN,PANAMA,.
25271,E/CN.4/RES(I),1947-01-28,1947,Commission on Human Rights,RECORDED,12,PHL,PHILIPPINES,Y
25271,E/CN.4/RES(I),1947-01-28,1947,Commission on Human Rights,RECORDED,13,UKR,UKRAINIAN SSR,.
25271,E/CN.4/RES(I),1947-01-28,1947,Commission on Human Rights,RECORDED,14,SUN,USSR,N
25271,E/CN.4/RES(I),1947-01-28,1947,Commission on Human Rights,RECORDED,15,GBR,UNITED KINGDOM,N
25271,E/CN.4/RES(I),1947-01-28,1947,Commission on Human Rights,RECORDED,16,USA,UNITED STATES,Y
25271,E/CN.4/RES(I),1947-01-28,1947,Commission on Human Rights,RECORDED,17,URY,URUGUAY,Y
25271,E/CN.4/RES(I),1947-01-28,1947,Commission on Human Rights,RECORDED,18,YUG,YUGOSLAVIA,.
25085,E/CN.4/RES(III),1948-06-18,1948,Commission on Human Rights,RECORDED,1,AUS,AUSTRALIA,Y
25085,E/CN.4/RES(III),1948-06-18,1948,Commission on Human Rights,RECORDED,2,BEL,BELGIUM,Y
25085,E/CN.4/RES(III),1948-06-18,1948,Commission on Human Rights,RECORDED,3,BLR,BYELORUSSIAN SSR,A
25085,E/CN.4/RES(III),1948-06-18,1948,Commission on Human Rights,RECORDED,4,CHL,CHILE,Y
25085,E/CN.4/RES(III),1948-06-18,1948,Commission on Human Rights,RECORDED,5,CHN,CHINA,Y
25085,E/CN.4/RES(III),1948-06-18,1948,Commission on Human Rights,RECORDED,6,EGY,EGYPT,Y
25085,E/CN.4/RES(III),1948-06-18,1948,Commission on Human Rights,RECORDED,7,FRA,FRANCE,Y
25085,E/CN.4/RES(III),1948-06-18,1948,Commission on Human Rights,RECORDED,8,IND,INDIA,Y
25085,E/CN.4/RES(III),1948-06-18,1948,Commission on Human Rights,RECORDED,9,IRN,IRAN (ISLAMIC REPUBLIC OF),.
25085,E/CN.4/RES(III),1948-06-18,1948,Commission on Human Rights,RECORDED,10,LBN,LEBANON,Y
25085,E/CN.4/RES(III),1948-06-18,1948,Commission on Human Rights,RECORDED,11,PAN,PANAMA,Y
25085,E/CN.4/RES(III),1948-06-18,1948,Commission on Human Rights,RECORDED,12,PHL,PHILIPPINES,.
25085,E/CN.4/RES(III),1948-06-18,1948,Commission on Human Rights,RECORDED,13,UKR,UKRAINIAN SSR,A
25085,E/CN.4/RES(III),1948-06-18,1948,Commission on Human Rights,RECORDED,14,SUN,USSR,A
